trkNO,trk,track,split,lss,cup,type
1,MKS,Mario Kart Stadium,Mario Kart Stadium,Mario Kart Stadium,Mushroom,nitro
2,WP,Water Park,Water Park,Water Park,Mushroom,nitro
3,SSC,Sweet Sweet Canyon,Sweet Sweet Canyon,Sweet Sweet Canyon,Mushroom,nitro
4,TR,Thwomp Ruins,Thwomp Ruins,Thwomp Ruins,Mushroom,nitro
5,MC,Mario Circuit,Mario Circuit,Mario Circuit,Flower,nitro
6,TH,Toad Harbor,Toad Harbor,Toad Harbor,Flower,nitro
7,TM,Twisted Mansion,Twisted Mansion,Twisted Mansion,Flower,nitro
8,SGF,Shy Guy Falls,Shy Guy Falls,Shy Guy Falls,Flower,nitro
9,SA,Sunshine Airport,Sunshine Airport,Sunshine Airport,Star,nitro
10,DS,Dolphin Shoals,Dolphin Shoals,Dolphin Shoals,Star,nitro
11,Ed,Electrodrome,Electrodrome,Electrodrome,Star,nitro
12,MW,Mount Wario,Mount Wario,Mount Wario,Star,nitro
13,CC,Cloudtop Cruise,Cloudtop Cruise,Cloudtop Cruise,Special,nitro
14,BDD,Bone-Dry Dunes,Bone-Dry Dunes,Bone-Dry Dunes,Special,nitro
15,BC,Bowser's Castle,Bowser's Castle,Bowser's Castle,Special,nitro
16,RR,Rainbow Road,Rainbow Road,Rainbow Road,Special,nitro
17,rMMM,Moo Moo Meadows,(Wii) Moo Moo Meadows,Wii Moo Moo Meadows,Shell,retro
18,rMC,Mario Circuit GBA,(GBA) Mario Circuit,GBA Mario Circuit,Shell,retro
19,rCCB,Cheep Cheep Beach DS,(DS) Cheep Cheep Beach,DS Cheep Cheep Beach,Shell,retro
20,rTT,Toad's Turnpike N64,(N64) Toad's Turnpike,N64 Toad's Turnpike,Shell,retro
21,rDDD,Dry Dry Desert GCN,(GCN) Dry Dry Desert,GCN Dry Dry Desert,Banana,retro
22,rDP3,Donut Plains 3 SNES,(SNES) Donut Plains 3,SNES Donut Plains 3,Banana,retro
23,rRRy,Royal Raceway N64,(N64) Royal Raceway,N64 Royal Raceway,Banana,retro
24,rDKJ,DK Jungle 3DS,(3DS) DK Jungle,3DS DK Jungle,Banana,retro
25,rWS,Wario Stadium DS,(DS) Wario Stadium,DS Wario Stadium,Leaf,retro
26,rSL,Sherbet Land GCN,(GCN) Sherbet Land,GCN Sherbet Land,Leaf,retro
27,rMP,Music Park 3DS,(3DS) Music Park,3DS Music Park,Leaf,retro
28,rYV,Yoshi Valley N64,(N64) Yoshi Valley,N64 Yoshi Valley,Leaf,retro
29,rTTC,Tick-Tock Clock DS,(DS) Tick-Tock Clock,DS Tick-Tock Clock,Lightning,retro
30,rPPS,Piranha Plant Slide 3DS,(3DS) Piranha Plant Slide,3DS Piranha Plant Slide,Lightning,retro
31,rGV,Grumble Volcano Wii,(Wii) Grumble Volcano,Wii Grumble Volcano,Lightning,retro
32,rRRd,Rainbow Road N64,(N64) Rainbow Road,N64 Rainbow Road,Lightning,retro
33,dYC,Yoshi Circuit GCN,(GCN) Yoshi Circuit,GCN Yoshi Circuit,Egg,DLC
34,dEA,Excitebike Arena,Excitebike Arena,Excitebike Arena,Egg,DLC
35,dDD,Dragon Driftway,Dragon Driftway,Dragon Driftway,Egg,DLC
36,dMC,Mute City,Mute City,Mute City,Egg,DLC
37,dWGM,Wario's Gold Mine Wii,(Wii) Wario's Gold Mine,Wii Wario's Gold Mine,Triforce,DLC
38,dRR,Rainbow Road SNES,(SNES) Rainbow Road,SNES Rainbow Road,Triforce,DLC
39,dIIO,Ice Ice Outpost,Ice Ice Outpost,Ice Ice Outpost,Triforce,DLC
40,dHC,Hyrule Circuit,Hyrule Circuit,Hyrule Circuit,Triforce,DLC
41,dBP,Baby Park GCN,(GCN) Baby Park,GCN Baby Park,Crossing,DLC
42,dCL,Cheese Land GBA,(GBA) Cheese Land,GBA Cheese Land,Crossing,DLC
43,dWW,Wild Woods,Wild Woods,Wild Woods,Crossing,DLC
44,dAC,Animal Crossing,Animal Crossing,Animal Crossing,Crossing,DLC
45,dNBC,Neo Bowser City 3DS,(3DS) Neo Bowser City,3DS Neo Bowser City,Bell,DLC
46,dRiR,Ribbon Road GBA,(GBA) Ribbon Road,GBA Ribbon Road,Bell,DLC
47,dSBS,Super Bell Subway,Super Bell Subway,Super Bell Subway,Bell,DLC
48,dBB,Big Blue,Big Blue,Big Blue,Bell,DLC
49,wPP,Paris Promenade,Paris Promenade,Tour Paris Promenade,Golden Dash,wave1
50,wTC,Toad Circuit 3DS,Toad Circuit 3DS,3DS Toad Circuit,Golden Dash,wave1
51,wChM,Choco Mountain,Choco Mountain,N64 Choco Mountain,Golden Dash,wave1
52,wCoM,Coconut Mall,Coconut Mall,Wii Coconut Mall,Golden Dash,wave1
53,wTB,Tokyo Blur,Tokyo Blur,Tour Tokyo Blur,Lucky Cat,wave1
54,wSR,Shroom Ridge,Shroom Ridge,DS Shroom Ridge,Lucky Cat,wave1
55,wSG,Sky Garden,Sky Garden,GBA Sky Garden,Lucky Cat,wave1
56,wNH,Ninja Hideaway,Ninja Hideaway,Tour Ninja Hideaway,Lucky Cat,wave1
57,wNYM,New York Minute,New York Minute,Tour New York Minute,Turnip,wave2
58,wMC3,Mario Circuit 3,Mario Circuit 3,SNES Mario Circuit 3,Turnip,wave2
59,wKD,Kalimari Desert,Kalimari Desert,N64 Kalimari Desert,Turnip,wave2
60,wWP,Waluigi Pinball,Waluigi Pinball,DS Waluigi Pinball,Turnip,wave2
61,wSS,Sydney Sprint,Sydney Sprint,Tour Sydney Sprint,Propeller,wave2
62,wSL,Snow Land,Snow Land,GBA Snow Land,Propeller,wave2
63,wMG,Mushroom Gorge,Mushroom Gorge,Wii Mushroom Gorge,Propeller,wave2
64,wSHS,Sky-High Sundae,Sky-High Sundae,Sky-High Sundae,Propeller,wave2
